title,url,release_date,critic_score,audience_score
The Honeymoon Killers,https://www.rottentomatoes.com/m/honeymoon_killers,"Released Feb 4, 1970",95%,69%
Start the Revolution Without Me,https://www.rottentomatoes.com/m/start_the_revolution_without_me,"Released Feb 4, 1970",83%,77%
Patton,https://www.rottentomatoes.com/m/patton,"Released Jan 25, 1970",91%,93%
Zabriskie Point,https://www.rottentomatoes.com/m/zabriskie_point,"Released Feb 9, 1970",64%,74%
End of the Road,https://www.rottentomatoes.com/m/end_of_the_road,2021,,
King of the Grizzlies,https://www.rottentomatoes.com/m/king_of_the_grizzlies,1970,,27%
The Bird With the Crystal Plumage,https://www.rottentomatoes.com/m/bird_with_the_crystal_plumage,"Released Jun 12, 1970",85%,80%
Hercules in New York,https://www.rottentomatoes.com/m/hercules_in_new_york,"Released Feb 25, 1970",14%,27%
The Butcher,https://www.rottentomatoes.com/m/le_boucher,"Released Sep 12, 1970",100%,84%
Loving,https://www.rottentomatoes.com/m/loving,1983,,
Airport,https://www.rottentomatoes.com/m/airport,"Released Apr 5, 1970",75%,54%
Skullduggery,https://www.rottentomatoes.com/m/skullduggery,1979,,7%
The Boys in the Band,https://www.rottentomatoes.com/m/the_boys_in_the_band,2020,84%,74%
The Boys in the Band,https://www.rottentomatoes.com/m/boys_in_the_band,"Released Mar 17, 1970",90%,87%
The Ballad of Cable Hogue,https://www.rottentomatoes.com/m/ballad_of_cable_hogue,"Released May 13, 1970",94%,81%
The Liberation of L.B. Jones,https://www.rottentomatoes.com/m/the_liberation_of_lb_jones,"Released Mar 18, 1970",63%,92%
The Liberation of L.B. Jones,https://www.rottentomatoes.com/m/liberation_of_lb_jones,"Released Mar 18, 1970",63%,92%
Carry On Up the Jungle,https://www.rottentomatoes.com/m/carry_on_up_the_jungle,1970,,48%
Bloody Mama,https://www.rottentomatoes.com/m/bloody_mama,"Released Mar 24, 1970",14%,42%
The Adventurers,https://www.rottentomatoes.com/m/the_adventurers,1995,,41%
Adventurers,https://www.rottentomatoes.com/m/adventurers,2008,,
Woodstock,https://www.rottentomatoes.com/m/woodstock,"Released Mar 26, 1970",100%,92%
Waterloo,https://www.rottentomatoes.com/m/waterloo,1970,30%,83%
Count Dracula,https://www.rottentomatoes.com/m/count_dracula,1977,,70%
Gods of the Plague,https://www.rottentomatoes.com/m/gods_of_the_plague,1970,83%,47%
Colossus: The Forbin Project,https://www.rottentomatoes.com/m/colossus_the_forbin_project,Now Playing,89%,76%
The Cockeyed Cowboys of Calico County,https://www.rottentomatoes.com/m/cockeyed_cowboys_of_calico_county,1970,,55%
Halls of Anger,https://www.rottentomatoes.com/m/halls_of_anger,1969,,30%
Chariots of the Gods,https://www.rottentomatoes.com/m/chariots_of_the_gods,1970,,42%
A Swedish Love Story,https://www.rottentomatoes.com/m/a_swedish_love_story,1970,,90%
"Hi, Mom",https://www.rottentomatoes.com/m/hi_mom,"Released Apr 27, 1970",73%,55%
Zig Zag,https://www.rottentomatoes.com/m/zig_zag,1999,,
The Confession,https://www.rottentomatoes.com/m/the_confession,2010,,92%
The Grasshopper,https://www.rottentomatoes.com/m/the_grasshopper,"Released Apr 21, 1956",,
The Grasshopper,https://www.rottentomatoes.com/m/grasshopper,"Released May 27, 1970",,55%
Equinox,https://www.rottentomatoes.com/m/equinox,2011,,
Taste the Blood of Dracula,https://www.rottentomatoes.com/m/taste_the_blood_of_dracula,1970,54%,54%
Leo the Last,https://www.rottentomatoes.com/m/leo_the_last,"Released May 11, 1970",,50%
"Tell Me That You Love Me, Junie Moon",https://www.rottentomatoes.com/m/tell_me_that_you_love_me_junie_moon,"Released May 11, 1970",22%,12%
Connecting Rooms,https://www.rottentomatoes.com/m/connecting_rooms,1969,,
Getting Straight,https://www.rottentomatoes.com/m/getting_straight,1970,33%,41%
Let It Be,https://www.rottentomatoes.com/m/let_it_be,"Released May 13, 1970",81%,88%
"My Lover, My Son",https://www.rottentomatoes.com/m/my_lover_my_son,1970,,
The Delta Factor,https://www.rottentomatoes.com/m/the_delta_factor,1970,,
Borsalino,https://www.rottentomatoes.com/m/borsalino,1970,,69%
The Landlord,https://www.rottentomatoes.com/m/the_landlord,2009,,41%
The Landlord,https://www.rottentomatoes.com/m/landlord,"Released May 20, 1970",93%,79%
One More Time,https://www.rottentomatoes.com/m/one_more_time,2016,,
Suppose They Gave a War and Nobody Came?,https://www.rottentomatoes.com/m/suppose_they_gave_a_war_and_nobody_came,1970,,27%
Too Late the Hero,https://www.rottentomatoes.com/m/too_late_the_hero,1970,57%,70%
Norwood,https://www.rottentomatoes.com/m/norwood,1970,,
Beneath the Planet of the Apes,https://www.rottentomatoes.com/m/beneath_the_planet_of_the_apes,"Released May 26, 1970",37%,38%
Cotton Comes to Harlem,https://www.rottentomatoes.com/m/cotton_comes_to_harlem,"Released May 27, 1970",,67%
The Magic Garden of Stanley Sweetheart,https://www.rottentomatoes.com/m/the_magic_garden_of_stanley_sweetheart,1970,,
Watermelon Man,https://www.rottentomatoes.com/m/watermelon_man,1970,88%,70%
Two Mules for Sister Sara,https://www.rottentomatoes.com/m/two_mules_for_sister_sara,1970,71%,73%
The Executioner,https://www.rottentomatoes.com/m/the_executioner,1974,,
The Executioner,https://www.rottentomatoes.com/m/executioner,1970,,30%
Julius Caesar,https://www.rottentomatoes.com/m/julius_caesar,2002,,
The Vampire Doll,https://www.rottentomatoes.com/m/the_vampire_doll,1970,,
Crimes of the Future,https://www.rottentomatoes.com/m/crimes_of_the_future,1970,67%,29%
The Invincible Six,https://www.rottentomatoes.com/m/the_invincible_six,1970,,
The Invincible Six,https://www.rottentomatoes.com/m/invincible_six,1970,,
Sleeping Beauty,https://www.rottentomatoes.com/m/sleeping_beauty,2017,,
The Cheyenne Social Club,https://www.rottentomatoes.com/m/cheyenne_social_club,"Released Jun 12, 1970",,68%
The Strawberry Statement,https://www.rottentomatoes.com/m/the_strawberry_statement,1970,,73%
The Strawberry Statement,https://www.rottentomatoes.com/m/strawberry_statement,1970,,73%
Beyond the Valley of the Dolls,https://www.rottentomatoes.com/m/beyond_the_valley_of_the_dolls,"Released Jun 17, 1970",76%,72%
The Hawaiians,https://www.rottentomatoes.com/m/the_hawaiians,"Released Jun 17, 1970",,52%
On a Clear Day You Can See Forever,https://www.rottentomatoes.com/m/on_a_clear_day_you_can_see_forever,"Released Jun 17, 1970",100%,75%
A Walk in the Spring Rain,https://www.rottentomatoes.com/m/a_walk_in_the_spring_rain,1970,,23%
A Bullet for Pretty Boy,https://www.rottentomatoes.com/m/a_bullet_for_pretty_boy,1970,,
Catch-22,https://www.rottentomatoes.com/m/catch22,"Released Jun 24, 1970",81%,76%
Kelly's Heroes,https://www.rottentomatoes.com/m/kellys_heroes,"Released Jun 23, 1970",79%,88%
Myra Breckinridge,https://www.rottentomatoes.com/m/myra_breckinridge,"Released Jun 24, 1970",27%,35%
Darling Lili,https://www.rottentomatoes.com/m/darling_lili,"Released Jun 24, 1970",40%,69%
The Boatniks,https://www.rottentomatoes.com/m/boatniks,1970,,53%
Lost Flight,https://www.rottentomatoes.com/m/lost_flight,1969,,
Goin' Down the Road,https://www.rottentomatoes.com/m/goin_down_the_road,1970,,83%
The Moonshine War,https://www.rottentomatoes.com/m/the_moonshine_war,1970,,36%
And Soon the Darkness,https://www.rottentomatoes.com/m/and_soon_the_darkness,1970,29%,63%
The Games,https://www.rottentomatoes.com/m/the_games,1970,,
Games,https://www.rottentomatoes.com/m/games,1967,57%,48%
Which Way to the Front?,https://www.rottentomatoes.com/m/which_way_to_the_front,1971,,24%
Hello.Goodbye,https://www.rottentomatoes.com/m/hellogoodbye,2023,,
Quackser Fortune Has a Cousin in the Bronx,https://www.rottentomatoes.com/m/quackser_fortune_has_a_cousin_in_the_bronx,1970,,64%
Joe,https://www.rottentomatoes.com/m/joe,"Released Jul 15, 1970",75%,64%
The Revolutionary,https://www.rottentomatoes.com/m/the_revolutionary,1969,,
The Revolutionary,https://www.rottentomatoes.com/m/revolutionary,1995,,
Cromwell,https://www.rottentomatoes.com/m/cromwell,"Released Oct 26, 1970",43%,69%
The Man Who Haunted Himself,https://www.rottentomatoes.com/m/man_who_haunted_himself,1970,,55%
Something for Everyone,https://www.rottentomatoes.com/m/something_for_everyone,1970,83%,70%
Chisum,https://www.rottentomatoes.com/m/chisum,1970,83%,74%
Move,https://www.rottentomatoes.com/m/move,2010,,
Rebel Rousers,https://www.rottentomatoes.com/m/rebel_rousers,1967,,22%
Yog -- Monster From Space,https://www.rottentomatoes.com/m/space_amoeba,1970,,37%
Ann and Eve,https://www.rottentomatoes.com/m/ann_and_eve,"Released Aug 3, 1970",,
Case for a Rookie Hangman,https://www.rottentomatoes.com/m/case_for_a_rookie_hangman,1970,,
Performance,https://www.rottentomatoes.com/m/performance,"Released Aug 3, 1970",82%,78%
Diary of a Mad Housewife,https://www.rottentomatoes.com/m/diary_of_a_mad_housewife,"Released Aug 10, 1970",82%,81%
Lovers and Other Strangers,https://www.rottentomatoes.com/m/lovers_and_other_strangers,"Released Aug 12, 1970",100%,75%
Soldier Blue,https://www.rottentomatoes.com/m/soldier_blue,"Released Aug 12, 1970",38%,71%
WUSA,https://www.rottentomatoes.com/m/wusa,"Released Aug 19, 1970",,37%
House of Dark Shadows,https://www.rottentomatoes.com/m/house_of_dark_shadows,"Released Oct 28, 1970",43%,70%
The Breach,https://www.rottentomatoes.com/m/the_breach,2022,82%,26%
Breach,https://www.rottentomatoes.com/m/breach,"Released Feb 16, 2007",84%,67%
The People Next Door,https://www.rottentomatoes.com/m/the_people_next_door,1970,,47%
The People Next Door,https://www.rottentomatoes.com/m/people_next_door,1996,,40%
The Deep End,https://www.rottentomatoes.com/m/deep_end,"Released Aug 1, 2001",82%,59%
Angel Unchained,https://www.rottentomatoes.com/m/angel_unchained,"Released Dec 9, 1970",,16%
Fragment of Fear,https://www.rottentomatoes.com/m/fragment_of_fear,1971,,36%
Bed and Board,https://www.rottentomatoes.com/m/bed_and_board,"Released Sep 9, 1968",76%,84%
Five Easy Pieces,https://www.rottentomatoes.com/m/five_easy_pieces,"Released Sep 12, 1970",89%,84%
The Brotherhood of the Bell,https://www.rottentomatoes.com/m/the_brotherhood_of_the_bell,1970,,44%
Crime and Punishment,https://www.rottentomatoes.com/m/crime_and_punishment,1987,,
Adam at 6 A.M.,https://www.rottentomatoes.com/m/adam_at_6_am,"Released Sep 22, 1970",,38%
Tora! Tora! Tora!,https://www.rottentomatoes.com/m/tora_tora_tora,"Released Sep 23, 1970",55%,81%
The Baby Maker,https://www.rottentomatoes.com/m/the_baby_maker,"Released Oct 1, 1970",,50%
The Baby Maker,https://www.rottentomatoes.com/m/baby_maker,"Released Oct 1, 1970",,50%
Cover Me Babe,https://www.rottentomatoes.com/m/cover_me_babe,1970,,
How Do I Love Thee?,https://www.rottentomatoes.com/m/how_do_i_love_thee,1970,,
Trash,https://www.rottentomatoes.com/m/trash,"Released Jun 24, 1999",,46%
The Vampire Lovers,https://www.rottentomatoes.com/m/vampire_lovers,"Released Oct 22, 1970",76%,60%
The American Soldier,https://www.rottentomatoes.com/m/the_american_soldier,1970,79%,55%
The American Soldier,https://www.rottentomatoes.com/m/american_soldier,1970,79%,55%
The Great White Hope,https://www.rottentomatoes.com/m/great_white_hope,"Released Oct 16, 1970",43%,67%
The Mind of Mr. Soames,https://www.rottentomatoes.com/m/the_mind_of_mr_soames,1970,,40%
Girls for Mercenaries,https://www.rottentomatoes.com/m/girls_for_mercenaries,1970,,
C.C. and Company,https://www.rottentomatoes.com/m/cc_and_company,1970,,22%
I Never Sang for My Father,https://www.rottentomatoes.com/m/i_never_sang_for_my_father,"Released Oct 18, 1970",100%,83%
The Red Circle,https://www.rottentomatoes.com/m/le_cercle_rouge,"Released Jan 2, 1970",96%,92%
Little Fauss and Big Halsy,https://www.rottentomatoes.com/m/little_fauss_and_big_halsy,1970,33%,47%
The Conformist,https://www.rottentomatoes.com/m/the_conformist,"Released Oct 22, 1970",98%,90%
The Conformist,https://www.rottentomatoes.com/m/conformist,"Released Oct 22, 1970",98%,90%
No Blade of Grass,https://www.rottentomatoes.com/m/no_blade_of_grass,1970,29%,42%
Trog,https://www.rottentomatoes.com/m/trog,1970,13%,23%
When Dinosaurs Ruled the Earth,https://www.rottentomatoes.com/m/when_dinosaurs_ruled_the_earth,"Released Mar 17, 1971",17%,27%
House of Dark Shadows,https://www.rottentomatoes.com/m/house_of_dark_shadows,"Released Oct 28, 1970",43%,70%
The Private Life of Sherlock Holmes,https://www.rottentomatoes.com/m/private_life_of_sherlock_holmes,"Released Dec 3, 1970",89%,73%
The Sidelong Glances of a Pigeon Kicker,https://www.rottentomatoes.com/m/the_sidelong_glances_of_a_pigeon_kicker,1970,,
The Twelve Chairs,https://www.rottentomatoes.com/m/the_twelve_chairs,1962,,60%
Three Sisters,https://www.rottentomatoes.com/m/three_sisters,2012,100%,88%
The Owl and the Pussycat,https://www.rottentomatoes.com/m/owl_and_the_pussycat,"Released Nov 3, 1970",82%,64%
Scrooge,https://www.rottentomatoes.com/m/scrooge,1979,,
The Phantom Tollbooth,https://www.rottentomatoes.com/m/phantom_tollbooth,"Released Nov 7, 1970",100%,76%
Scars of Dracula,https://www.rottentomatoes.com/m/scars_of_dracula,1970,50%,44%
The Horror of Frankenstein,https://www.rottentomatoes.com/m/horror_of_frankenstein,1970,55%,40%
Ryan's Daughter,https://www.rottentomatoes.com/m/ryans_daughter,"Released Nov 9, 1970",47%,73%
Perfect Friday,https://www.rottentomatoes.com/m/perfect_friday,1970,,67%
Where's Poppa?,https://www.rottentomatoes.com/m/wheres_poppa,"Released Jan 1, 1970",82%,69%
The Over-the-Hill Gang Rides Again,https://www.rottentomatoes.com/m/the_overthehill_gang_rides_again,1970,,31%
Dirty Dingus Magee,https://www.rottentomatoes.com/m/dirty_dingus_magee,1970,,56%
I Walk the Line,https://www.rottentomatoes.com/m/i_walk_the_line,1970,,69%
Act of the Heart,https://www.rottentomatoes.com/m/the_act_of_the_heart,1970,,
Yousuf Khan Sher Bano,https://www.rottentomatoes.com/m/yousuf_khan_sher_bano,1970,,
The Garden of the Finzi-Continis,https://www.rottentomatoes.com/m/garden_of_the_finzicontinis,"Released Dec 16, 1971",94%,78%
Brewster McCloud,https://www.rottentomatoes.com/m/brewster_mccloud,Now Playing,86%,81%
Gimme Shelter,https://www.rottentomatoes.com/m/gimme_shelter,"Released Dec 6, 1970",94%,91%
Husbands,https://www.rottentomatoes.com/m/husbands,1970,66%,79%
The Aristocats,https://www.rottentomatoes.com/m/the_aristocats,1970,,
The Aristocats,https://www.rottentomatoes.com/m/aristocats,"Released Dec 24, 1970",64%,70%
Claire's Knee,https://www.rottentomatoes.com/m/claires_knee,"Released Feb 1, 1971",96%,85%
There's a Girl in My Soup,https://www.rottentomatoes.com/m/theres_a_girl_in_my_soup,"Released Dec 15, 1970",,37%
The Wild Country,https://www.rottentomatoes.com/m/the_wild_country,"Released Dec 15, 1970",,
Wild Country,https://www.rottentomatoes.com/m/wild_country,1947,,
Puzzle of a Downfall Child,https://www.rottentomatoes.com/m/puzzle_of_a_downfall_child,"Released Dec 16, 1970",,61%
Love Story,https://www.rottentomatoes.com/m/love_story,"Released Dec 16, 1970",63%,75%
Alex in Wonderland,https://www.rottentomatoes.com/m/alex_in_wonderland,"Released Dec 17, 1970",,31%
Rio Lobo,https://www.rottentomatoes.com/m/rio_lobo,"Released Dec 18, 1970",70%,70%
Peau D'ane,https://www.rottentomatoes.com/m/donkey_skin,Now Playing,90%,76%
I Love My... Wife,https://www.rottentomatoes.com/m/i_love_my_wife,1970,,
Little Big Man,https://www.rottentomatoes.com/m/little_big_man,"Released Dec 14, 1970",91%,87%
There Was a Crooked Man,https://www.rottentomatoes.com/m/there_was_a_crooked_man,"Released Dec 25, 1970",82%,72%
Loot,https://www.rottentomatoes.com/m/loot,1970,,32%
Billy Jack,https://www.rottentomatoes.com/m/billy_jack,"Released May 1, 1971",63%,63%
Fiddler on the Roof,https://www.rottentomatoes.com/m/fiddler_on_the_roof,"Released Jan 1, 1971",81%,92%
Diamonds Are Forever,https://www.rottentomatoes.com/m/diamonds_are_forever,"Released Dec 17, 1971",64%,57%
The French Connection,https://www.rottentomatoes.com/m/the_french_connection,"Released Oct 7, 1971",96%,87%
The French Connection,https://www.rottentomatoes.com/m/french_connection,"Released Oct 7, 1971",96%,87%
Summer of '42,https://www.rottentomatoes.com/m/summer_of_42,"Released Apr 9, 1971",79%,73%
Dirty Harry,https://www.rottentomatoes.com/m/dirty_harry,"Released Jan 1, 1971",89%,90%
The Last Picture Show,https://www.rottentomatoes.com/m/last_picture_show,"Released Jan 1, 1971",98%,89%
Bedknobs and Broomsticks,https://www.rottentomatoes.com/m/bedknobs_and_broomsticks,"Released Oct 7, 1971",67%,74%
Sweet Sweetback's Baadasssss Song,https://www.rottentomatoes.com/m/sweet_sweetbacks_baadasssss_song,"Released Apr 23, 1971",73%,48%
Punishment Park,https://www.rottentomatoes.com/m/punishment_park,"Released Mar 14, 1973",92%,86%
The Ski Bum,https://www.rottentomatoes.com/m/ski_bum,1971,,
Zachariah,https://www.rottentomatoes.com/m/zachariah,1971,50%,39%
The Music Lovers,https://www.rottentomatoes.com/m/music_lovers,"Released Jan 24, 1971",61%,74%
10 Rillington Place,https://www.rottentomatoes.com/m/10_rillington_place,1971,64%,84%
The Last Valley,https://www.rottentomatoes.com/m/last_valley,1970,,78%
Doctors' Wives,https://www.rottentomatoes.com/m/doctors_wives,1971,20%,
King Lear,https://www.rottentomatoes.com/m/king_lear,2018,,
How to Frame a Figg,https://www.rottentomatoes.com/m/how_to_frame_a_figg,1971,,72%
Little Murders,https://www.rottentomatoes.com/m/little_murders,"Released Feb 9, 1971",71%,80%
Raid on Rommel,https://www.rottentomatoes.com/m/raid_on_rommel,1971,,31%
Countess Dracula,https://www.rottentomatoes.com/m/countess_dracula,1970,40%,44%
Gas-s-s-s,https://www.rottentomatoes.com/m/gassss,"Released Feb 17, 1971",,19%
Cold Turkey,https://www.rottentomatoes.com/m/cold_turkey,"Released Feb 19, 1971",60%,65%
The Pursuit of Happiness,https://www.rottentomatoes.com/m/the_pursuit_of_happiness,"Released Sep 28, 1934",,
The Pursuit of Happiness,https://www.rottentomatoes.com/m/pursuit_of_happiness,1971,,33%
Wanda,https://www.rottentomatoes.com/m/wanda,"Released Feb 28, 1971",92%,70%
Death in Venice,https://www.rottentomatoes.com/m/death_in_venice,1990,80%,
The Emigrants,https://www.rottentomatoes.com/m/the_emigrants,"Released Sep 24, 1972",94%,87%
The Emigrants,https://www.rottentomatoes.com/m/emigrants,"Released Sep 24, 1972",94%,87%
Get Carter,https://www.rottentomatoes.com/m/get_carter,"Released Mar 18, 1971",87%,84%
Lawman,https://www.rottentomatoes.com/m/lawman,1971,73%,63%
THX-1138,https://www.rottentomatoes.com/m/thx_1138,"Released Mar 11, 1971",86%,73%
Up Pompeii,https://www.rottentomatoes.com/m/up_pompeii,1971,,41%
The Andromeda Strain,https://www.rottentomatoes.com/m/andromeda_strain,"Released Mar 12, 1971",68%,72%
Vanishing Point,https://www.rottentomatoes.com/m/vanishing_point,"Released Jan 15, 1971",79%,81%
The Barefoot Executive,https://www.rottentomatoes.com/m/the_barefoot_executive,1995,,
The Barefoot Executive,https://www.rottentomatoes.com/m/barefoot_executive,1971,83%,48%
Brother John,https://www.rottentomatoes.com/m/brother_john,"Released Mar 24, 1971",,54%
Friends,https://www.rottentomatoes.com/m/friends,1993,,
The Deserter,https://www.rottentomatoes.com/m/the_deserter,2008,,
The Deserter,https://www.rottentomatoes.com/m/deserter,1971,,
The Battle of Love's Return,https://www.rottentomatoes.com/m/battle_of_loves_return,1971,,67%
Taking Off,https://www.rottentomatoes.com/m/taking_off,"Released Mar 28, 1971",100%,84%
B.S. I Love You,https://www.rottentomatoes.com/m/bs_i_love_you,1971,,
Just Before Nightfall,https://www.rottentomatoes.com/m/just_before_nightfall,1971,,81%
Shinbone Alley,https://www.rottentomatoes.com/m/shinbone_alley,1971,,68%
Zodiac Killer,https://www.rottentomatoes.com/m/zodiac_killer,2005,,17%
The Mephisto Waltz,https://www.rottentomatoes.com/m/mephisto_waltz,1971,63%,43%
Summer of '42,https://www.rottentomatoes.com/m/summer_of_42,"Released Apr 9, 1971",79%,73%
Valdez Is Coming,https://www.rottentomatoes.com/m/valdez_is_coming,1971,,67%
The Blood on Satan's Claw,https://www.rottentomatoes.com/m/the_blood_on_satans_claw,"Released Apr 14, 1971",73%,58%
The Blood on Satan's Claw,https://www.rottentomatoes.com/m/blood_on_satans_claw,"Released Apr 14, 1971",73%,58%
Melody,https://www.rottentomatoes.com/m/melody,1971,,93%
Sweet Sweetback's Baadasssss Song,https://www.rottentomatoes.com/m/sweet_sweetbacks_baadasssss_song,"Released Apr 23, 1971",73%,48%
The Cat,https://www.rottentomatoes.com/m/the_cat,1977,,
The Cat,https://www.rottentomatoes.com/m/cat,1966,,
Bananas,https://www.rottentomatoes.com/m/bananas,"Released Apr 28, 1971",83%,74%
Pretty Maids All in a Row,https://www.rottentomatoes.com/m/pretty_maids_all_in_a_row,"Released Feb 26, 1971",8%,48%
The Big Doll House,https://www.rottentomatoes.com/m/big_doll_house,1971,100%,50%
Billy Jack,https://www.rottentomatoes.com/m/billy_jack,"Released May 1, 1971",63%,63%
Mrs. Pollifax: Spy,https://www.rottentomatoes.com/m/mrs_pollifaxspy,1971,,38%
Plaza Suite,https://www.rottentomatoes.com/m/plaza_suite,1971,67%,56%
Wake in Fright,https://www.rottentomatoes.com/m/wake_in_fright,Now Playing,97%,83%
Johnny Got His Gun,https://www.rottentomatoes.com/m/johnny_got_his_gun,1971,67%,86%
The Abominable Dr. Phibes,https://www.rottentomatoes.com/m/abominable_dr_phibes,"Released May 18, 1971",88%,75%
Escape From the Planet of the Apes,https://www.rottentomatoes.com/m/escape_from_the_planet_of_the_apes,"Released May 21, 1971",76%,53%
Pink Narcissus,https://www.rottentomatoes.com/m/pink_narcissus,1971,,74%
Big Jake,https://www.rottentomatoes.com/m/big_jake,"Released May 26, 1971",75%,85%
Support Your Local Gunfighter,https://www.rottentomatoes.com/m/support_your_local_gunfighter,"Released May 26, 1971",62%,61%
The Villain,https://www.rottentomatoes.com/m/villain,1979,0%,39%
The Beguiled,https://www.rottentomatoes.com/m/the_beguiled,"Released Jun 30, 2017",78%,48%
The Beguiled,https://www.rottentomatoes.com/m/beguiled,"Released Mar 31, 1971",90%,72%
The Grissom Gang,https://www.rottentomatoes.com/m/grissom_gang,1971,46%,70%
The Young Graduates,https://www.rottentomatoes.com/m/the_young_graduates,1971,,40%
The Young Graduates,https://www.rottentomatoes.com/m/young_graduates,1971,,40%
Spenser: Ceremony,https://www.rottentomatoes.com/m/ceremony,1993,,
The Deadly Trap,https://www.rottentomatoes.com/m/the_deadly_trap,1972,,29%
They Might Be Giants,https://www.rottentomatoes.com/m/they_might_be_giants,"Released Jun 9, 1971",61%,74%
"Drive, He Said",https://www.rottentomatoes.com/m/drive_he_said,1971,57%,21%
Wuthering Heights,https://www.rottentomatoes.com/m/wuthering_heights,1992,31%,66%
Fortune and Men's Eyes,https://www.rottentomatoes.com/m/fortune_and_mens_eyes,1971,57%,53%
Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?,https://www.rottentomatoes.com/m/who_is_harry_kellerman_and_why_is_he_saying_those_terrible_things_about_me,"Released Jun 15, 1971",40%,33%
The Anderson Tapes,https://www.rottentomatoes.com/m/anderson_tapes,1971,76%,53%
Willard,https://www.rottentomatoes.com/m/willard,"Released Mar 14, 2003",64%,51%
Scandalous John,https://www.rottentomatoes.com/m/scandalous_john,1971,20%,
Le Mans,https://www.rottentomatoes.com/m/le_mans,"Released Jun 23, 1971",71%,79%
Man and Boy,https://www.rottentomatoes.com/m/man_and_boy,1972,,71%
McCabe & Mrs. Miller,https://www.rottentomatoes.com/m/mccabe_and_mrs_miller,"Released Jun 24, 1971",85%,86%
Klute,https://www.rottentomatoes.com/m/klute,"Released Jun 23, 1971",93%,80%
The Hellstrom Chronicle,https://www.rottentomatoes.com/m/hellstrom_chronicle,"Released Jun 28, 1971",75%,87%
Carnal Knowledge,https://www.rottentomatoes.com/m/carnal_knowledge,"Released Jun 30, 1971",88%,72%
"$1,000,000 Duck",https://www.rottentomatoes.com/m/million_dollar_duck,1971,17%,41%
My Old Man's Place,https://www.rottentomatoes.com/m/my_old_mans_place,1971,,
What's the Matter With Helen?,https://www.rottentomatoes.com/m/whats_the_matter_with_helen,"Released Jun 30, 1971",55%,41%
Willy Wonka and the Chocolate Factory,https://www.rottentomatoes.com/m/willy_wonka_and_the_chocolate_factory,"Released Jan 1, 1971",92%,87%
Murphy's War,https://www.rottentomatoes.com/m/murphys_war,1971,,62%
Walkabout,https://www.rottentomatoes.com/m/walkabout,1971,86%,86%
"Sunday, Bloody Sunday",https://www.rottentomatoes.com/m/sunday_bloody_sunday,"Released Sep 8, 1971",87%,70%
Shaft,https://www.rottentomatoes.com/m/shaft,"Released Jun 14, 2019",34%,94%
Two-Lane Blacktop,https://www.rottentomatoes.com/m/twolane_blacktop,"Released Jan 1, 1971",93%,82%
Vampyros Lesbos,https://www.rottentomatoes.com/m/vampyros_lesbos,Now Playing,56%,47%
The Devils,https://www.rottentomatoes.com/m/the_devils,"Released Jul 16, 1971",70%,88%
The Devils,https://www.rottentomatoes.com/m/devils,"Released Jul 16, 1971",70%,88%
The Hunting Party,https://www.rottentomatoes.com/m/the_hunting_party,1971,20%,54%
Hunting Party,https://www.rottentomatoes.com/m/hunting_party,2015,,
The Light at the Edge of the World,https://www.rottentomatoes.com/m/the_light_at_the_edge_of_the_world,1971,,62%
At the Edge of the World,https://www.rottentomatoes.com/m/light_at_the_edge_of_the_world,2008,87%,48%
